Date,CAPE
1970.01,17.0905414
1970.02,16.37258679
1970.03,16.53169081
1970.04,15.87306782
1970.05,13.98383606
1970.06,13.7996918
1970.07,13.72649974
1970.08,14.10045652
1970.09,14.84266115
1970.1,15.0641854
1970.11,14.95076191
1970.12,15.87384069
1971.01,16.46179394
1971.02,17.03453478
1971.03,17.40290261
1971.04,17.92411045
1971.05,17.56415328
1971.06,17.08316688
1971.07,16.88941471
1971.08,16.51944944
1971.09,16.85679255
1971.1,16.42886271
1971.11,15.63871265
1971.12,16.60355721
1972.01,17.2629968
1972.02,17.46414761
1972.03,17.80564385
1972.04,17.91516168
1972.05,17.6626462
1972.06,17.64085732
1972.07,17.39869003
1972.08,17.94340469
1972.09,17.61385455
1972.1,17.53318385
1972.11,18.33889471
1972.12,18.64571944
1973.01,18.71253047
1973.02,17.8898896
1973.03,17.41214206
1973.04,16.93574007
1973.05,16.31433876
1973.06,15.80832305
1973.07,15.88951857
1973.08,15.27850109
1973.09,15.4753086
1973.1,15.91351631
1973.11,14.65184516
1973.12,13.49332969
1974.01,13.53072189
1974.02,12.95732128
1974.03,13.31036424
1974.04,12.55041105
1974.05,11.99543695
1974.06,11.88849882
1974.07,10.39414181
1974.08,9.824195723
1974.09,8.680421306
1974.1,8.744983834
1974.11,8.948984513
1974.12,8.289060056
1975.01,8.920995508
1975.02,9.762246716
1975.03,10.16379677
1975.04,10.23307614
1975.05,10.81813912
1975.06,11.01135461
1975.07,10.90276705
1975.08,10.08976959
1975.09,9.918905357
1975.1,10.32759978
1975.11,10.43585946
1975.12,10.25036842
1976.01,11.18505136
1976.02,11.58609299
1976.03,11.6317544
1976.04,11.68916413
1976.05,11.53205359
1976.06,11.54384163
1976.07,11.75749049
1976.08,11.597986
1976.09,11.80599095
1976.1,11.34569614
1976.11,11.24885586
1976.12,11.59758973
1977.01,11.43796135
1977.02,11.01484185
1977.03,10.89574651
1977.04,10.63603741
1977.05,10.54848669
1977.06,10.53002396
1977.07,10.56769245
1977.08,10.26838567
1977.09,10.06774282
1977.1,9.7666663
1977.11,9.766299984
1977.12,9.678266583
1978.01,9.241462261
1978.02,9.045263571
1978.03,8.950420078
1978.04,9.262588721
1978.05,9.634910729
1978.06,9.549678981
1978.07,9.425524048
1978.08,10.02397085
1978.09,9.941887473
1978.1,9.533608358
1978.11,8.928418902
1978.12,9.011941819
1979.01,9.257636919
1979.02,9.003740371
1979.03,9.07078503
1979.04,9.133063566
1979.05,8.79438329
1979.06,8.853937765
1979.07,8.827498046
1979.08,9.127165797
1979.09,9.112758991
1979.1,8.681843307
1979.11,8.518784303
1979.12,8.745204405
1980.01,8.850934181
1980.02,9.054476092
1980.03,8.081150901
1980.04,7.844024505
1980.05,8.104225807
1980.06,8.512077962
1980.07,8.880865527
1980.08,9.071005982
1980.09,9.196040132
1980.1,9.357841047
1980.11,9.654043663
1980.12,9.389902085
1981.01,9.259404531
1981.02,8.829899354
1981.03,9.081096884
1981.04,9.085561231
1981.05,8.818483467
1981.06,8.765340744
1981.07,8.445319468
1981.08,8.399806317
1981.09,7.581163052
1981.1,7.649141713
1981.11,7.810752566
1981.12,7.832562137
1982.01,7.388659973
1982.02,7.181823451
1982.03,6.950673794
1982.04,7.259072625
1982.05,7.192612484
1982.06,6.692133988
1982.07,6.6386531
1982.08,6.643422752
1982.09,7.3988382
1982.1,7.999840995
1982.11,8.347476938
1982.12,8.467738401
1983.01,8.756783224
1983.02,8.910493437
1983.03,9.232829705
1983.04,9.531581284
1983.05,9.874456505
1983.06,10.0001179
1983.07,10.014476
1983.08,9.728056936
1983.09,9.984202458
1983.1,10.0033918
1983.11,9.853581649
1983.12,9.815010904
1984.01,9.894931809
1984.02,9.324529646
1984.03,9.326747067
1984.04,9.305643405
1984.05,9.231831817
1984.06,9.010185512
1984.07,8.868302214
1984.08,9.623063257
1984.09,9.687341314
1984.1,9.595070703
1984.11,9.691973222
1984.12,9.595054801
1985.01,9.997001178
1985.02,10.49493517
1985.03,10.37321721
1985.04,10.39711872
1985.05,10.60812047
1985.06,10.81004985
1985.07,10.99756396
1985.08,10.73879981
1985.09,10.47123466
1985.1,10.55251698
1985.11,11.16461113
1985.12,11.69052147
1986.01,11.71500758
1986.02,12.3882191
1986.03,13.18902298
1986.04,13.55250417
1986.05,13.5600462
1986.06,13.88868863
1986.07,13.61999553
1986.08,13.88766755
1986.09,13.46731431
1986.1,13.42591886
1986.11,13.8729856
1986.12,14.08513981
1987.01,14.9222081
1987.02,15.82231814
1987.03,16.43334398
1987.04,16.19653445
1987.05,16.16031195
1987.06,16.82520731
1987.07,17.30600439
1987.08,18.32690725
1987.09,17.67562045
1987.1,15.53005556
1987.11,13.59088514
1987.12,13.38902851
1988.01,13.89833668
1988.02,14.29827096
1988.03,14.66894681
1988.04,14.43331642
1988.05,14.03189135
1988.06,14.76646865
1988.07,14.60831572
1988.08,14.24494631
1988.09,14.36942878
1988.1,14.81145015
1988.11,14.44553068
1988.12,14.70208675
1989.01,15.08807244
1989.02,15.46706046
1989.03,15.29896911
1989.04,15.68674266
1989.05,16.18635354
1989.06,16.64190424
1989.07,17.01340765
1989.08,17.73425144
1989.09,17.71422068
1989.1,17.64085385
1989.11,17.24236927
1989.12,17.6502129
1990.01,17.04884361
1990.02,16.50809352
1990.03,16.83374823
1990.04,16.8139139
1990.05,17.39241359
1990.06,17.81708282
1990.07,17.74717159
1990.08,16.16833476
1990.09,15.30128544
1990.1,14.81814797
1990.11,15.1876076
1990.12,15.84631497
1991.01,15.60619012
1991.02,17.35466475
1991.03,17.81862008
1991.04,18.1553459
1991.05,18.03543091
1991.06,18.01522704
1991.07,18.10345235
1991.08,18.51225846
1991.09,18.35728259
1991.1,18.34918799
1991.11,18.28886817
1991.12,18.44165231
1992.01,19.77306821
1992.02,19.58298297
1992.03,19.28356186
1992.04,19.30122951
1992.05,19.6622798
1992.06,19.31536597
1992.07,19.62074069
1992.08,19.7221375
1992.09,19.70876642
1992.1,19.37027108
1992.11,19.83365604
1992.12,20.44860672
1993.01,20.3234108
1993.02,20.54533679
1993.03,20.85520015
1993.04,20.45736202
1993.05,20.51760563
1993.06,20.60835701
1993.07,20.56459641
1993.08,20.81222755
1993.09,20.99350101
1993.1,21.10917825
1993.11,21.03790119
1993.12,21.16473208
1994.01,21.41197491
1994.02,21.26384019
1994.03,20.83337589
1994.04,20.05525009
1994.05,20.19649242
1994.06,20.29076369
1994.07,20.06795182
1994.08,20.5355494
1994.09,20.5764501
1994.1,20.39575928
1994.11,20.20947302
1994.12,19.91148411
1995.01,20.21911942
1995.02,20.80257176
1995.03,21.1527373
1995.04,21.64273926
1995.05,22.1954267
1995.06,22.71835676
1995.07,23.37641269
1995.08,23.28407026
1995.09,23.94600708
1995.1,23.92676276
1995.11,24.34758688
1995.12,25.02738066
1996.01,24.76246519
1996.02,25.97606555
1996.03,25.6299304
1996.04,25.42420385
1996.05,25.81404383
1996.06,25.96667356
1996.07,24.85841133
1996.08,25.41252912
1996.09,25.68011551
1996.1,26.48346772
1996.11,27.58561205
1996.12,27.72394616
1997.01,28.33287013
1997.02,29.26563488
1997.03,28.80245859
1997.04,27.58516034
1997.05,29.92836222
1997.06,31.25656062
1997.07,32.76663769
1997.08,32.58628349
1997.09,32.66658134
1997.1,32.90149818
1997.11,32.33660053
1997.12,33.03078904
1998.01,32.85996842
1998.02,34.70967778
1998.03,36.29692774
1998.04,37.27693404
1998.05,36.95659852
1998.06,36.80229346
1998.07,38.25964509
1998.08,35.42340102
1998.09,33.53235698
1998.1,33.77310288
1998.11,37.36939188
1998.12,38.82027478
1999.01,40.57695768
1999.02,40.40015923
1999.03,41.35610363
1999.04,42.70450952
1999.05,42.55667671
1999.06,42.18067591
1999.07,43.82803599
1999.08,41.93071216
1999.09,41.32345133
1999.1,40.5528544
1999.11,43.20829071
1999.12,44.19793976
2000.01,43.77257815
2000.02,42.18563589
2000.03,43.22074844
2000.04,43.52857429
2000.05,41.9660505
2000.06,42.78197157
2000.07,42.75809362
2000.08,42.86956549
2000.09,41.89800792
2000.1,39.36969904
2000.11,38.78214246
2000.12,37.274238
2001.01,36.978868
2001.02,35.83466265
2001.03,32.32583724
2001.04,32.17390117
2001.05,34.07464322
2001.06,33.06853441
2001.07,32.16303869
2001.08,31.40431876
2001.09,27.66739259
2001.1,28.57737311
2001.11,30.00510381
2001.12,30.49995326
2002.01,30.27720443
2002.02,29.08570415
2002.03,30.29213064
2002.04,29.00588325
2002.05,28.12810751
2002.06,26.38767254
2002.07,23.46312047
2002.08,23.58871353
2002.09,22.3650368
2002.1,21.95623386
2002.11,23.3483965
2002.12,23.10144254
2003.01,22.89834858
2003.02,21.21410212
2003.03,21.30971903
2003.04,22.42793958
2003.05,23.59108045
2003.06,24.83222326
2003.07,24.8673291
2003.08,24.64225141
2003.09,25.24368675
2003.1,25.68275607
2003.11,25.94679822
2003.12,26.63517051
2004.01,27.65854036
2004.02,27.65086204
2004.03,26.88653038
2004.04,26.90057751
2004.05,25.90281429
2004.06,26.40128537
2004.07,25.69588865
2004.08,25.17446223
2004.09,25.66840678
2004.1,25.41165567
2004.11,26.46531081
2004.12,27.14480869
2005.01,26.5872507
2005.02,26.74486313
2005.03,26.33914213
2005.04,25.40892257
2005.05,25.65023019
2005.06,26.06839487
2005.07,26.28787109
2005.08,26.10438141
2005.09,25.73012299
2005.1,24.87653872
2005.11,25.93178331
2005.12,26.44380311
2006.01,26.46870263
2006.02,26.24962476
2006.03,26.32783778
2006.04,26.14728094
2006.05,25.65064071
2006.06,24.74958224
2006.07,24.69678677
2006.08,25.05139356
2006.09,25.64415644
2006.1,26.53804028
2006.11,26.92802027
